word	start_time	end_time	vowel_start	vowel_end	nasal_start	nasal_end	next_seg	next_seg_start	next_seg_end	chunk_start	chunk_end	nwords	idstring
UH	24.388	24.688	24.388	24.688			S	24.688	24.867	24.388	25.288	6551	PH00-1-1-
UH	34.963	35.243	34.963	35.243			F	35.243	35.353	34.963	37.113	6551	PH00-1-1-
UM	37.903	38.273	37.903	38.123	38.123	38.273	sp	38.273	38.393	37.903	38.803	6551	PH00-1-1-
UH	44.453	44.653	44.453	44.653			DH	44.653	44.682	44.453	45.623	6551	PH00-1-1-
UH	57.648	57.828	57.648	57.828			AY1	57.828	57.878	57.648	58.968	6551	PH00-1-1-
UH	62.298	62.487	62.298	62.487			sp	62.487	62.978	62.068	62.487	6551	PH00-1-1-
UH	73.932	74.233	73.932	74.233			sp	74.233	74.983	73.223	74.233	6551	PH00-1-1-
UH	75.143	75.403	75.143	75.403			sp	75.403	75.683	74.983	75.403	6551	PH00-1-1-
UM	81.558	81.978	81.558	81.808	81.808	81.978	sp	81.978	84.013	81.558	81.978	6551	PH00-1-1-
UH	92.643	92.893	92.643	92.893			sp	92.893	93.443	91.122	92.893	6551	PH00-1-1-
UH	93.653	93.703	93.653	93.703			W	93.703	93.733	93.443	95.253	6551	PH00-1-1-
UM	116.043	116.403	116.043	116.223	116.223	116.403	sp	116.403	117.073	116.043	116.403	6551	PH00-1-1-
UH	129.498	129.728	129.498	129.728			sp	129.728	130.537	128.898	129.728	6551	PH00-1-1-
UH	142.968	143.368	142.968	143.368			sp	143.368	143.488	142.968	145.748	6551	PH00-1-1-
UH	148.873	149.203	148.873	149.203			OW1	149.203	149.233	146.873	150.133	6551	PH00-1-1-
UM	173.253	173.553	173.253	173.453	173.453	173.553	sp	173.553	173.942	173.253	173.553	6551	PH00-1-1-
UM	184.968	185.298	184.968	185.148	185.148	185.298	sp	185.298	185.338	184.968	185.978	6551	PH00-1-1-
UH	200.278	200.588	200.278	200.588			sp	200.588	201.538	200.278	200.588	6551	PH00-1-1-
UH	237.162	237.453	237.162	237.453			N	237.453	237.693	237.162	238.623	6551	PH00-1-1-
UM	243.262	243.603	243.262	243.453	243.453	243.603	sp	243.603	244.903	243.262	243.603	6551	PH00-1-1-
UM	301.258	301.578	301.258	301.398	301.398	301.578	sp	301.578	304.083	301.258	301.578	6551	PH00-1-1-
UM	314.443	314.733	314.443	314.623	314.623	314.733	sp	314.733	315.502	314.443	314.733	6551	PH00-1-1-
UM	319.768	320.128	319.768	319.938	319.938	320.128	sp	320.128	320.428	319.768	320.128	6551	PH00-1-1-
UH	322.478	322.718	322.478	322.718			sp	322.718	323.248	320.428	322.718	6551	PH00-1-1-
UH	335.658	335.918	335.658	335.918			sp	335.918	337.078	335.508	335.918	6551	PH00-1-1-
UM	337.158	337.478	337.158	337.368	337.368	337.478	sp	337.478	338.678	337.078	337.478	6551	PH00-1-1-
UH	357.238	357.548	357.238	357.548			sp	357.548	357.948	357.238	357.548	6551	PH00-1-1-
UM	377.378	377.728	377.378	377.638	377.638	377.728	sp	377.728	378.027	377.378	377.728	6551	PH00-1-1-
UH	381.768	381.928	381.768	381.928			F	381.928	382.088	381.768	383.918	6551	PH00-1-1-
UH	385.728	386.008	385.728	386.008			B	386.008	386.078	385.728	386.508	6551	PH00-1-1-
UH	399.653	400.063	399.653	400.063			sp	400.063	400.262	399.653	400.873	6551	PH00-1-1-
UH	408.467	408.768	408.467	408.768			sp	408.768	409.267	407.988	408.768	6551	PH00-1-1-
UH	443.768	443.988	443.768	443.988			S	443.988	444.108	443.768	444.448	6551	PH00-1-1-
UM	458.263	458.533	458.263	458.383	458.383	458.533	sp	458.533	460.518	458.263	458.533	6551	PH00-1-1-
UH	462.038	462.158	462.038	462.158			W	462.158	462.188	460.518	462.288	6551	PH00-1-1-
UM	481.338	481.778	481.338	481.608	481.608	481.778	sp	481.778	483.118	480.718	481.778	6551	PH00-1-1-
UH	484.458	484.668	484.458	484.668			sp	484.668	485.958	483.118	484.668	6551	PH00-1-1-
UH	516.633	516.983	516.633	516.983			sp	516.983	517.363	516.063	516.983	6551	PH00-1-1-
UM	518.702	519.023	518.702	518.863	518.863	519.023	sp	519.023	520.123	518.702	519.023	6551	PH00-1-1-
UH	521.903	522.083	521.903	522.083			AY1	522.083	522.143	521.593	522.143	6551	PH00-1-1-
UH	526.212	526.423	526.212	526.423			AH0	526.423	526.453	526.212	528.102	6551	PH00-1-1-
UM	551.347	551.608	551.347	551.478	551.478	551.608	sp	551.608	553.022	551.347	551.608	6551	PH00-1-1-
UH	557.373	557.573	557.373	557.573			AY1	557.573	557.603	556.203	557.603	6551	PH00-1-1-
UM	570.349	570.579	570.349	570.439	570.439	570.579	sp	570.579	571.459	570.349	570.579	6551	PH00-1-1-
UM	618.298	618.608	618.298	618.478	618.478	618.608	sp	618.608	618.973	618.298	618.608	6551	PH00-1-1-
UM	650.923	651.253	650.923	651.163	651.163	651.253	sp	651.253	652.148	650.923	651.253	6551	PH00-1-1-
UM	678.303	678.703	678.303	678.513	678.513	678.703	sp	678.703	680.013	678.303	678.703	6551	PH00-1-1-
UH	686.458	686.658	686.458	686.658			sp	686.658	687.198	686.318	686.658	6551	PH00-1-1-
UH	699.793	700.093	699.793	700.093			sp	700.093	700.303	699.793	700.093	6551	PH00-1-1-
UH	717.698	717.868	717.698	717.868			SH	717.868	718.008	717.698	719.168	6551	PH00-1-1-
UH	722.008	722.308	722.008	722.308			sp	722.308	723.098	722.008	722.308	6551	PH00-1-1-
UM	742.222	742.692	742.222	742.533	742.533	742.692	sp	742.692	743.333	741.733	742.692	6551	PH00-1-1-
UH	745.253	745.543	745.253	745.543			S	745.543	745.693	743.333	746.822	6551	PH00-1-1-
UM	752.137	752.548	752.137	752.418	752.418	752.548	sp	752.548	753.558	752.137	752.548	6551	PH00-1-1-
UH	773.483	773.653	773.483	773.653			sp	773.653	773.903	773.483	773.653	6551	PH00-1-1-
UH	780.312	780.523	780.312	780.523			sp	780.523	780.853	779.743	780.523	6551	PH00-1-1-
UH	811.693	811.993	811.693	811.993			sp	811.993	812.413	811.693	811.993	6551	PH00-1-1-
UM	876.153	876.553	876.153	876.293	876.293	876.553	sp	876.553	876.752	876.153	877.763	6551	PH00-1-1-
