"idstring"	"word"	"start_time"	"end_time"	"vowel_start"	"vowel_end"	"nasal_start"	"nasal_end"	"chunk_start"	"chunk_end"	"nwords"	"sex"	"year"	"age"	"ethnicity"	"schooling"	"transcribed"	"total"	"nvowels"
"PH00-1-1-"	"UH"	24.388	24.388	24.388	24.688	NA	NA	24.388	25.288	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	34.963	34.963	34.963	35.243	NA	NA	34.963	37.113	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	37.903	37.903	37.903	38.123	38.123	38.273	37.903	38.803	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	44.453	44.453	44.453	44.653	NA	NA	44.453	45.623	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	57.648	57.648	57.648	57.828	NA	NA	57.648	58.968	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	62.298	62.068	62.298	62.487	NA	NA	62.068	62.487	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	73.932	73.223	73.932	74.233	NA	NA	73.223	74.233	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	75.143	74.983	75.143	75.403	NA	NA	74.983	75.403	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	81.558	81.558	81.558	81.808	81.808	81.978	81.558	81.978	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	92.643	91.122	92.643	92.893	NA	NA	91.122	92.893	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	93.653	93.443	93.653	93.703	NA	NA	93.443	95.253	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	116.043	116.043	116.043	116.223	116.223	116.403	116.043	116.403	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	129.498	128.898	129.498	129.728	NA	NA	128.898	129.728	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	142.968	142.968	142.968	143.368	NA	NA	142.968	145.748	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	148.873	146.873	148.873	149.203	NA	NA	146.873	150.133	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	173.253	173.253	173.253	173.453	173.453	173.553	173.253	173.553	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	184.968	184.968	184.968	185.148	185.148	185.298	184.968	185.978	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	200.278	200.278	200.278	200.588	NA	NA	200.278	200.588	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	237.162	237.162	237.162	237.453	NA	NA	237.162	238.623	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	243.262	243.262	243.262	243.453	243.453	243.603	243.262	243.603	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	301.258	301.258	301.258	301.398	301.398	301.578	301.258	301.578	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	314.443	314.443	314.443	314.623	314.623	314.733	314.443	314.733	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UM"	319.768	319.768	319.768	319.938	319.938	320.128	319.768	320.128	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
"PH00-1-1-"	"UH"	322.478	321.488	322.478	322.718	NA	NA	320.428	322.718	6551	"m"	2000	21	"i/r"	"14"	2810.733	2814.345	3078
